season_id,round,date,start_time,home_team,away_team,score,attendance,referee,venue,match_report,notes,home_score,away_score,match_id
73_2018,Regular Season,2018-03-17,13:00,NY Red Bulls II,Toronto FC II,'2-1,717,Kevin Broadley,Red Bull Arena,https://fbref.com/en/matches/e99ba9ea/New-York-Red-Bulls-II-Toronto-FC-II-March-17-2018-USL,,2,1,e99ba9ea
73_2018,Regular Season,2018-03-17,15:00,Louisville City,Nashville,'2-0,"7,933",Ismir Pekmic,Louisville Slugger Field,https://fbref.com/en/matches/d4a11900/Louisville-City-Nashville-SC-March-17-2018-USL,,2,0,d4a11900
73_2018,Regular Season,2018-03-17,15:30,North Carolina,TB Rowdies,'1-3,"4,197",Guido Gonzalez Jr.,WakeMed Soccer Park,https://fbref.com/en/matches/1cb70889/North-Carolina-FC-Tampa-Bay-Rowdies-March-17-2018-USL,,1,3,1cb70889
73_2018,Regular Season,2018-03-17,16:00,Reno 1868,Swope Park,'3-4,"3,224",Farhad Dadkho,Aces Ballpark,https://fbref.com/en/matches/3bf1f35d/Reno-1868-Swope-Park-Rangers-March-17-2018-USL,,3,4,3bf1f35d
73_2018,Regular Season,2018-03-17,19:00,Charlotte Ind'ence,Ottawa Fury,'4-1,"1,438",Jonathan Bilinski,Sportsplex at Matthews,https://fbref.com/en/matches/973a4f0b/Charlotte-Independence-Ottawa-Fury-March-17-2018-USL,,4,1,973a4f0b
73_2018,Regular Season,2018-03-17,19:00,Charleston,FC Cincinnati,'0-1,"4,598",Elvis Osmanovic,MUSC Health Stadium,https://fbref.com/en/matches/3b402472/Charleston-Battery-FC-Cincinnati-March-17-2018-USL,,0,1,3b402472
73_2018,Regular Season,2018-03-16,19:00,Sounders 2,Timbers 2,'2-1,"6,049",Victor Rivas,Cheney Stadium,https://fbref.com/en/matches/610884ed/Seattle-Sounders-FC-2-Portland-Timbers-2-March-16-2018-USL,,2,1,610884ed
73_2018,Regular Season,2018-03-16,19:30,RGV Toros,Saint Louis FC,'1-1,"5,910",Christopher Scruggs,H-E-B Park,https://fbref.com/en/matches/63a18ebb/RGV-FC-Toros-Saint-Louis-FC-March-16-2018-USL,,1,1,63a18ebb
73_2018,Regular Season,2018-03-18,14:00,Bethlehem,Richmond,'4-1,"3,284",Marcos de Oliveira,Goodman Stadium,https://fbref.com/en/matches/2e9952a6/Bethlehem-Steel-FC-Richmond-Kickers-March-18-2018-USL,,4,1,2e9952a6
73_2018,Regular Season,2018-03-17,18:00,CS Switchbacks,Galaxy II,'2-0,"3,023",Greg Dopka,Weidner Field,https://fbref.com/en/matches/3777ebb3/Colorado-Springs-Switchbacks-LA-Galaxy-II-March-17-2018-USL,,2,0,3777ebb3
73_2018,Regular Season,2018-03-17,19:00,OKC Energy,Tulsa,'1-0,"6,757",Luis Guardia,Taft Stadium,https://fbref.com/en/matches/84be0dc4/OKC-Energy-Tulsa-Roughnecks-FC-March-17-2018-USL,,1,0,84be0dc4
