team_name,player_url,player_id,match_id,player,lineup_status,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,fouls,fouled,offsides,crosses,tackles_wom,interceptions,own_goals,pens_won,penalties_conceded,primary_position,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct
Galaxy II,https://fbref.com/en/players/dc5f57f4/Adonis-Amaya,dc5f57f4,eed77941,Adonis Amaya,Starter,USA,FW,20-135,73,0,0,0,0,2,2,1,0,2,0,0,0,0,0,0,0,0,FW,0.0,0.0,0.0,0.0
Galaxy II,https://fbref.com/en/players/eb8eae2c/Justin-Dhillon,eb8eae2c,eed77941,Justin Dhillon,Sub,USA,FW,21-292,17,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,FW,0.0,0.0,0.0,0.0
Galaxy II,https://fbref.com/en/players/9f39b6cf/Ethan-Zubak,9f39b6cf,eed77941,Ethan Zubak,Starter,USA,FW,18-344,90,1,0,0,0,1,1,0,0,2,0,0,1,0,1,0,0,0,FW,0.0,0.0,0.0,0.0
Galaxy II,https://fbref.com/en/players/21996ff4/Bradford-Jamieson-IV,21996ff4,eed77941,Bradford Jamieson IV,Starter,USA,LM,20-158,90,0,1,0,0,1,1,0,0,2,0,0,2,0,2,0,0,0,LM,0.0,0.0,0.0,0.0
Galaxy II,https://fbref.com/en/players/e65bdbb6/Jaime-Villarreal,e65bdbb6,eed77941,Jaime Villarreal,Starter,USA,CM,21-275,90,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,CM,0.0,0.0,0.0,0.0
Galaxy II,https://fbref.com/en/players/a4db2cd1/Baggio-Husidic,a4db2cd1,eed77941,Baggio Husidic,Starter,BIH,CM,29-310,90,0,0,0,0,0,0,1,0,1,1,0,2,0,1,0,0,0,CM,0.0,0.0,0.0,0.0
Galaxy II,https://fbref.com/en/players/7651910f/Miguel-Aguilar,7651910f,eed77941,Miguel Aguilar,Starter,MEX,RM,23-207,33,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,RM,0.0,0.0,0.0,0.0
Galaxy II,https://fbref.com/en/players/c43e439a/Adrian-Vera,c43e439a,eed77941,Adrian Vera,Sub,USA,"DF,MF",20-071,57,0,0,0,0,1,1,0,0,2,0,0,1,0,0,0,0,0,DF,0.0,0.0,0.0,0.0
Galaxy II,https://fbref.com/en/players/b61fcff3/Ian-Lonergan,b61fcff3,eed77941,Ian Lonergan,Starter,USA,LB,17-252,90,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,LB,0.0,0.0,0.0,0.0
Galaxy II,https://fbref.com/en/players/149a1165/Hugo-Arellano,149a1165,eed77941,Hugo Arellano,Starter,USA,CB,19-020,90,0,0,0,0,0,0,1,0,3,0,0,0,0,3,0,0,0,CB,0.0,0.0,0.0,0.0
Galaxy II,https://fbref.com/en/players/27eac525/Jean-Jospin-Engola,27eac525,eed77941,Jean Jospin Engola,Starter,CMR,CB,19-147,90,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,CB,0.0,0.0,0.0,0.0
Galaxy II,https://fbref.com/en/players/a75783a7/Tyler-Turner,a75783a7,eed77941,Tyler Turner,Starter,USA,RB,21-021,55,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,RB,0.0,0.0,0.0,0.0
Galaxy II,https://fbref.com/en/players/d8f7c306/Ryo-Fujii,d8f7c306,eed77941,Ryo Fujii,Sub,JPN,MF,20-230,35,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,MF,0.0,0.0,0.0,0.0
Galaxy II,https://fbref.com/en/players/063adc5e/Jon-Kempin,063adc5e,eed77941,Jon Kempin,Starter,USA,GK,23-351,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,5.0,0.0,5.0,100.0
Whitecaps FC 2,https://fbref.com/en/players/5c34d6fa/Kyle-Greig,5c34d6fa,eed77941,Kyle Greig,Starter,USA,FW,27-031,90,0,0,0,0,2,2,0,0,1,3,0,1,0,0,0,0,0,FW,0.0,0.0,0.0,0.0
Whitecaps FC 2,https://fbref.com/en/players/8b37742d/Andy-Thoma,8b37742d,eed77941,Andy Thoma,Starter,USA,AM,23-330,78,0,0,0,0,0,0,0,0,2,1,0,4,0,1,0,0,0,AM,0.0,0.0,0.0,0.0
Whitecaps FC 2,https://fbref.com/en/players/417f0ee1/Gloire-Amanda,417f0ee1,eed77941,Gloire Amanda,Sub,CAN,FW,18-134,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FW,0.0,0.0,0.0,0.0
Whitecaps FC 2,https://fbref.com/en/players/8dfbcc33/Thomas-Gardner,8dfbcc33,eed77941,Thomas Gardner,Starter,CAN,AM,19-008,68,0,0,0,0,0,0,0,0,0,3,1,1,0,2,0,0,0,AM,0.0,0.0,0.0,0.0
Whitecaps FC 2,https://fbref.com/en/players/d8affa13/Thomas-Sanner,d8affa13,eed77941,Thomas Sanner,Sub,USA,FW,22-309,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FW,0.0,0.0,0.0,0.0
Whitecaps FC 2,https://fbref.com/en/players/ee95302b/Terran-Campbell,ee95302b,eed77941,Terran Campbell,Starter,CAN,AM,18-166,90,0,0,0,0,2,0,0,0,0,2,0,5,0,1,0,0,0,AM,0.0,0.0,0.0,0.0
Whitecaps FC 2,https://fbref.com/en/players/45cc6e15/Deybi-Flores,45cc6e15,eed77941,Deybi Flores,Starter,HON,DM,20-282,90,0,0,0,0,1,1,0,0,1,2,0,0,0,1,0,0,0,DM,0.0,0.0,0.0,0.0
Whitecaps FC 2,https://fbref.com/en/players/b93cd33f/Ben-McKendry,b93cd33f,eed77941,Ben McKendry,Starter,CAN,DM,24-000,90,0,0,0,0,2,1,0,0,0,2,0,2,0,2,0,0,0,DM,0.0,0.0,0.0,0.0
Whitecaps FC 2,https://fbref.com/en/players/8c2098b6/Christian-Dean,8c2098b6,eed77941,Christian Dean,Starter,USA,LB,24-011,90,0,0,0,0,3,1,1,0,1,1,0,5,0,3,0,0,0,LB,0.0,0.0,0.0,0.0
Whitecaps FC 2,https://fbref.com/en/players/d50eaf71/Cole-Seiler,d50eaf71,eed77941,Cole Seiler,Starter,USA,CB,23-048,90,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,CB,0.0,0.0,0.0,0.0
Whitecaps FC 2,https://fbref.com/en/players/04239ad5/Sem-de-Wit,04239ad5,eed77941,Sem de Wit,Starter,NED,CB,21-360,90,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,CB,0.0,0.0,0.0,0.0
Whitecaps FC 2,https://fbref.com/en/players/2b5801d0/Jake-Nerwinski,2b5801d0,eed77941,Jake Nerwinski,Starter,USA,RB,22-159,88,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,RB,0.0,0.0,0.0,0.0
Whitecaps FC 2,https://fbref.com/en/players/32c5216d/Matthew-Baldisimo,32c5216d,eed77941,Matthew Baldisimo,Sub,PHI,"DF,MF",19-064,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DF,0.0,0.0,0.0,0.0
Whitecaps FC 2,https://fbref.com/en/players/d9178ea2/Spencer-Richey,d9178ea2,eed77941,Spencer Richey,Starter,USA,GK,24-299,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,6.0,2.0,4.0,66.7
Louisville City,https://fbref.com/en/players/7eadfdd6/Cameron-Lancaster,7eadfdd6,ddef2541,Cameron Lancaster,Starter,ENG,FW,24-140,83,0,0,0,0,6,1,0,0,0,3,1,1,0,0,0,0,0,FW,0.0,0.0,0.0,0.0
Louisville City,https://fbref.com/en/players/4fbfe62d/Niall-McCabe,4fbfe62d,ddef2541,Niall McCabe,Sub,USA,"FW,MF",26-170,7,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,FW,0.0,0.0,0.0,0.0
Louisville City,https://fbref.com/en/players/3774549a/Brian-Ownby,3774549a,ddef2541,Brian Ownby,Starter,USA,AM,26-252,90,0,0,0,0,5,0,0,0,3,3,0,5,0,2,0,0,0,AM,0.0,0.0,0.0,0.0
Louisville City,https://fbref.com/en/players/0249340a/George-Davis-IV,0249340a,ddef2541,George Davis IV,Starter,USA,AM,29-232,69,0,0,0,0,3,3,0,0,1,2,0,2,0,1,0,0,0,AM,0.0,0.0,0.0,0.0
Louisville City,https://fbref.com/en/players/6b9ad55a/Luke-Spencer,6b9ad55a,ddef2541,Luke Spencer,Sub,USA,FW,26-117,21,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,FW,0.0,0.0,0.0,0.0
Louisville City,https://fbref.com/en/players/8d653c47/Richard-Ballard,8d653c47,ddef2541,Richard Ballard,Starter,USA,AM,23-058,90,0,0,0,0,1,0,0,0,0,6,1,3,0,0,0,0,0,AM,0.0,0.0,0.0,0.0
Louisville City,https://fbref.com/en/players/009355ab/Paolo-DelPiccolo,009355ab,ddef2541,Paolo DelPiccolo,Starter,USA,DM,25-301,90,0,0,0,0,1,0,1,0,2,1,0,17,0,1,0,0,0,DM,0.0,0.0,0.0,0.0
Louisville City,https://fbref.com/en/players/53974fd2/Devon-Williams,53974fd2,ddef2541,Devon Williams,Starter,JAM,DM,24-351,90,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,DM,0.0,0.0,0.0,0.0
Louisville City,https://fbref.com/en/players/df5ee3d0/Oscar-Jimenez,df5ee3d0,ddef2541,Oscar Jimenez,Starter,USA,LB,27-142,90,0,0,0,0,1,1,0,0,1,0,0,9,0,2,0,0,0,LB,0.0,0.0,0.0,0.0
