team_name,player_url,player_id,match_id,player,lineup_status,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,penalties_conceded,primary_position,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct
Swope Park,https://fbref.com/en/players/3a7bec1b/Tyler-Pasher,3a7bec1b,b9b642dc,Tyler Pasher,Starter,CAN,FW,23-178,70,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,FW,0.0,0.0,0.0,0.0
Swope Park,https://fbref.com/en/players/c9f1ab31/Nansel-Selbol,c9f1ab31,b9b642dc,Nansel Selbol,Sub,NGA,MF,20-144,50,0,0,0,0,3,1,0,0,0,0,0,2,0,1,0,0,0,MF,0.0,0.0,0.0,0.0
Swope Park,https://fbref.com/en/players/dd4ddd03/Lebogang-Moloto,dd4ddd03,b9b642dc,Lebogang Moloto,Starter,RSA,FW,27-154,120,0,0,0,0,3,0,0,0,2,3,0,1,0,0,0,0,0,FW,0.0,0.0,0.0,0.0
Swope Park,https://fbref.com/en/players/a25e9c54/Kharlton-Belmar,a25e9c54,b9b642dc,Kharlton Belmar,Starter,GRN,FW,24-325,120,0,1,0,0,2,1,0,0,1,0,2,0,0,0,0,0,0,FW,0.0,0.0,0.0,0.0
Swope Park,https://fbref.com/en/players/7a34ab4c/Christian-Duke,7a34ab4c,b9b642dc,Christian Duke,Starter,USA,CM,26-139,120,0,0,0,0,0,0,0,0,1,3,0,0,0,2,0,0,0,CM,0.0,0.0,0.0,0.0
Swope Park,https://fbref.com/en/players/66711b29/Dakota-Barnathan,66711b29,b9b642dc,Dakota Barnathan,Starter,USA,CM,22-347,120,0,0,0,0,1,1,0,0,2,1,0,0,0,3,0,0,0,CM,0.0,0.0,0.0,0.0
Swope Park,https://fbref.com/en/players/31a4d0b8/Felipe-Hernandez,31a4d0b8,b9b642dc,Felipe Hernandez,Starter,USA,CM,19-136,120,0,0,0,0,1,0,0,0,0,2,0,4,0,1,0,0,0,CM,0.0,0.0,0.0,0.0
Swope Park,https://fbref.com/en/players/8610d56a/Parker-Maher,8610d56a,b9b642dc,Parker Maher,Starter,USA,LB,24-102,120,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,LB,0.0,0.0,0.0,0.0
Swope Park,https://fbref.com/en/players/e5c1e0ca/Erik-Palmer-Brown,e5c1e0ca,b9b642dc,Erik Palmer Brown,Starter,USA,CB,20-181,120,0,0,0,0,1,0,0,0,1,1,0,0,0,3,0,0,0,CB,0.0,0.0,0.0,0.0
Swope Park,https://fbref.com/en/players/87fcf32d/Amer-Didic,87fcf32d,b9b642dc,Amer Didic,Starter,CAN,CB,22-298,120,1,0,0,0,1,1,0,0,1,0,0,0,0,2,0,0,0,CB,0.0,0.0,0.0,0.0
Swope Park,https://fbref.com/en/players/4e5c1465/Colton-Storm,4e5c1465,b9b642dc,Colton Storm,Starter,USA,RB,23-108,120,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,RB,0.0,0.0,0.0,0.0
Swope Park,https://fbref.com/en/players/837378a3/Darrin-MacLeod,837378a3,b9b642dc,Darrin MacLeod,Starter,CAN,GK,23-232,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,4.0,1.0,3.0,75.0
Phx Rising,https://fbref.com/en/players/4e9e4b4c/Chris-Cortez,4e9e4b4c,b9b642dc,Chris Cortez,Starter,USA,FW,29-090,96,0,0,0,0,6,1,0,0,2,1,1,0,0,1,0,0,0,FW,0.0,0.0,0.0,0.0
Phx Rising,https://fbref.com/en/players/43a4cc15/Alessandro-Riggi,43a4cc15,b9b642dc,Alessandro Riggi,Sub,CAN,MF,23-326,24,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,MF,0.0,0.0,0.0,0.0
Phx Rising,https://fbref.com/en/players/945dea33/Didier-Drogba,945dea33,b9b642dc,Didier Drogba,Starter,CIV,FW,39-225,120,1,0,0,0,5,2,0,0,0,2,1,8,0,0,0,0,0,FW,0.0,0.0,0.0,0.0
Phx Rising,https://fbref.com/en/players/1650e261/Amadou-Dia,1650e261,b9b642dc,Amadou Dia,Starter,USA,LM,24-136,120,0,0,0,0,2,1,0,0,1,1,4,3,0,1,0,0,0,LM,0.0,0.0,0.0,0.0
Phx Rising,https://fbref.com/en/players/d7fe9d80/Kevon-Lambert,d7fe9d80,b9b642dc,Kevon Lambert,Starter,JAM,CM,20-214,120,0,0,0,0,2,0,0,0,5,1,0,1,0,2,0,0,0,CM,0.0,0.0,0.0,0.0
Phx Rising,https://fbref.com/en/players/1e2207ff/Sam-Hamilton,1e2207ff,b9b642dc,Sam Hamilton,Starter,USA,CM,22-087,45,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,CM,0.0,0.0,0.0,0.0
