team_name,player_url,player_id,match_id,player,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,fouls,fouled,offsides,crosses,tackles_wom,interceptions,own_goals,pens_won,penalties_conceded,primary_position,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct
Charleston,https://fbref.com/en/players/8bb1c744/Augustine-Williams,8bb1c744,c0637fc2,Augustine Williams,SLE,FW,26-065,90,1,0,0,0,3,3,0,0,1,1,0,0,0,0,0,0,0,FW,0.0,0.0,0.0,0.0
Charleston,https://fbref.com/en/players/17e0db3e/Tristan-Trager,17e0db3e,c0637fc2,Tristan Trager,USA,AM,24-040,90,0,0,0,0,1,0,1,0,2,1,1,1,0,1,0,0,0,AM,0.0,0.0,0.0,0.0
Charleston,https://fbref.com/en/players/bc245aa5/Arturo-Rodriguez,bc245aa5,c0637fc2,Arturo Rodriguez,MEX,AM,24-296,62,0,0,0,0,0,0,0,0,1,4,0,2,0,0,0,0,0,AM,0.0,0.0,0.0,0.0
Charleston,https://fbref.com/en/players/bb666b57/Roberto-Avila,bb666b57,c0637fc2,Roberto Avila,USA,FW,22-356,28,0,0,0,0,1,0,0,0,2,1,0,1,0,0,0,0,0,FW,0.0,0.0,0.0,0.0
Charleston,https://fbref.com/en/players/4abe30fa/Fidel-Barajas,4abe30fa,c0637fc2,Fidel Barajas,MEX,AM,17-185,90,0,0,0,0,1,0,1,0,0,1,0,12,0,1,0,0,0,AM,0.0,0.0,0.0,0.0
Charleston,https://fbref.com/en/players/bd929bce/Chris-Allan,bd929bce,c0637fc2,Chris Allan,ENG,DM,25-010,90,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,DM,0.0,0.0,0.0,0.0
Charleston,https://fbref.com/en/players/5bb6c69c/Emilio-Ycaza,5bb6c69c,c0637fc2,Emilio Ycaza,USA,DM,26-089,77,0,0,0,0,3,0,0,0,2,1,0,2,0,2,0,0,0,DM,0.0,0.0,0.0,0.0
Charleston,https://fbref.com/en/players/2509d2df/Andrew-Booth,2509d2df,c0637fc2,Andrew Booth,JAM,MF,26-083,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,MF,0.0,0.0,0.0,0.0
Charleston,https://fbref.com/en/players/a84af631/Mark-Segbers,a84af631,c0637fc2,Mark Segbers,USA,LB,27-172,90,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,LB,0.0,0.0,0.0,0.0
Charleston,https://fbref.com/en/players/49f87705/Juan-Palma,49f87705,c0637fc2,Juan Palma,COL,CB,24-081,90,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,CB,0.0,0.0,0.0,0.0
Charleston,https://fbref.com/en/players/bbb1e33e/Leland-Archer,bbb1e33e,c0637fc2,Leland Archer,TRI,CB,27-272,90,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,CB,0.0,0.0,0.0,0.0
Charleston,https://fbref.com/en/players/b9b0304a/Derek-Dodson,b9b0304a,c0637fc2,Derek Dodson,USA,RB,24-338,90,0,0,0,0,1,0,0,0,0,4,0,4,0,0,0,0,0,RB,0.0,0.0,0.0,0.0
Charleston,https://fbref.com/en/players/20e26ab3/Trey-Muse,20e26ab3,c0637fc2,Trey Muse,USA,GK,24-073,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,3.0,2.0,2.0,66.7
Miami FC,https://fbref.com/en/players/6ea83b25/Kyle-Murphy,6ea83b25,c0637fc2,Kyle Murphy,USA,FW,30-300,70,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,FW,0.0,0.0,0.0,0.0
Miami FC,https://fbref.com/en/players/dbab5aa7/Michael-Salazar,dbab5aa7,c0637fc2,Michael Salazar,BLZ,"FW,MF",30-326,20,1,0,0,0,1,1,1,0,3,1,1,0,0,1,0,0,0,FW,0.0,0.0,0.0,0.0
Miami FC,https://fbref.com/en/players/4236fd6b/Christian-Sorto,4236fd6b,c0637fc2,Christian Sorto,SLV,AM,23-261,78,0,0,0,0,3,1,0,0,1,0,0,1,0,0,0,0,0,AM,0.0,0.0,0.0,0.0
Miami FC,https://fbref.com/en/players/c912dbcb/Claudio-Repetto,c912dbcb,c0637fc2,Claudio Repetto,ITA,FW,26-247,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FW,0.0,0.0,0.0,0.0
Miami FC,https://fbref.com/en/players/bffd7272/Joaquin-Rivas,bffd7272,c0637fc2,Joaquin Rivas,SLV,AM,31-164,90,1,1,1,1,1,1,0,0,3,2,0,0,0,1,0,0,0,AM,0.0,0.0,0.0,0.0
Miami FC,https://fbref.com/en/players/ad454d78/Florian-Valot,ad454d78,c0637fc2,Florian Valot,FRA,AM,30-237,90,0,0,0,0,0,0,0,0,3,1,1,3,0,4,0,0,0,AM,0.0,0.0,0.0,0.0
Miami FC,https://fbref.com/en/players/8ed78284/Bolu-Akinyode,8ed78284,c0637fc2,Bolu Akinyode,NGA,DM,29-130,90,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,DM,0.0,0.0,0.0,0.0
Miami FC,https://fbref.com/en/players/ed550cbe/Gabriel-de-Freitas,ed550cbe,c0637fc2,Gabriel de Freitas,BRA,DM,26-161,90,0,0,0,0,1,1,1,0,2,0,0,3,0,4,0,0,0,DM,0.0,0.0,0.0,0.0
Miami FC,https://fbref.com/en/players/61cd3bcf/Aedan-Stanley,61cd3bcf,c0637fc2,Aedan Stanley,USA,LB,23-298,90,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,LB,0.0,0.0,0.0,0.0
Miami FC,https://fbref.com/en/players/f440649e/Paco-Craig,f440649e,c0637fc2,Paco Craig,ENG,CB,30-353,90,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,CB,0.0,0.0,0.0,0.0
Miami FC,https://fbref.com/en/players/e2d3bec6/Benjamin-Ofeimu,e2d3bec6,c0637fc2,Benjamin Ofeimu,USA,CB,23-007,90,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,CB,0.0,0.0,0.0,0.0
Miami FC,https://fbref.com/en/players/a5333872/Ryan-Telfer,a5333872,c0637fc2,Ryan Telfer,TRI,RB,29-217,90,0,0,0,0,1,0,0,0,1,4,0,2,0,1,0,0,0,RB,0.0,0.0,0.0,0.0
Miami FC,https://fbref.com/en/players/29863f6e/Jake-McGuire,29863f6e,c0637fc2,Jake McGuire,USA,GK,29-034,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,3.0,1.0,2.0,66.7
Loudoun United,https://fbref.com/en/players/2acbf26d/Wesley-Leggett,2acbf26d,0afb7b98,Wesley Leggett,USA,FW,22-205,90,0,0,0,0,4,3,1,0,3,1,1,1,0,0,0,0,0,FW,0.0,0.0,0.0,0.0
Loudoun United,https://fbref.com/en/players/99a6142d/Chris-Hegardt,99a6142d,0afb7b98,Chris Hegardt,USA,LW,21-274,90,0,0,0,0,1,1,1,0,3,2,0,3,0,0,0,0,0,LW,0.0,0.0,0.0,0.0
Loudoun United,https://fbref.com/en/players/efd7b827/Houssou-Landry,efd7b827,0afb7b98,Houssou Landry,CIV,AM,22-283,90,0,0,0,0,1,0,0,0,1,3,0,1,0,1,0,0,0,AM,0.0,0.0,0.0,0.0
Loudoun United,https://fbref.com/en/players/70a494c9/Aidan-Rocha,70a494c9,0afb7b98,Aidan Rocha,USA,AM,22-286,65,0,0,0,0,0,0,1,0,2,2,0,1,0,1,0,0,0,AM,0.0,0.0,0.0,0.0
Loudoun United,https://fbref.com/en/players/74ba46bc/Zach-Ryan,74ba46bc,0afb7b98,Zach Ryan,USA,FW,24-266,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,FW,0.0,0.0,0.0,0.0
Loudoun United,https://fbref.com/en/players/056a4c3c/Jake-Morris,056a4c3c,0afb7b98,Jake Morris,USA,RW,24-218,45,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,RW,0.0,0.0,0.0,0.0
Loudoun United,https://fbref.com/en/players/2484e983/Tommy-Williamson,2484e983,0afb7b98,Tommy Williamson,USA,FW,24-155,36,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,FW,0.0,0.0,0.0,0.0
Loudoun United,https://fbref.com/en/players/45004a8c/Isaac-Espinal,45004a8c,0afb7b98,Isaac Espinal,USA,FW,18-001,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,FW,0.0,0.0,0.0,0.0
Loudoun United,https://fbref.com/en/players/30ec7b37/Cole-Turner,30ec7b37,0afb7b98,Cole Turner,USA,DM,22-092,90,0,0,0,0,1,0,0,0,2,0,0,1,0,3,0,0,0,DM,0.0,0.0,0.0,0.0
Loudoun United,https://fbref.com/en/players/fb2e1102/Latif-Koanda,fb2e1102,0afb7b98,Latif Koanda,CIV,LB,19-106,90,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,LB,0.0,0.0,0.0,0.0
