"team_name","player_url","player_id","match_id","player","lineup_status","nationality","position","age","minutes","goals","assists","pens_made","pens_att","shots","shots_on_target","cards_yellow","cards_red","fouls","fouled","offsides","crosses","tackles_won","interceptions","own_goals","pens_won","penalties_conceded","primary_position","gk_shots_on_target_against","gk_goals_against","gk_saves","gk_save_pct"
"Charleston","https://fbref.com/en/players/8bb1c744/Augustine-Williams","8bb1c744","db21ded4","Augustine Williams","Starter","SLE","FW","26-080","68","1","1","0","0","1","1","1","0","2","0","1","0","1","1","0","0","0","FW",0.0,0.0,0.0,0.0
"Charleston","https://fbref.com/en/players/79979a4e/Robbie-Crawford","79979a4e","db21ded4","Robbie Crawford","Sub","SCO","MF","30-217","22","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","MF",0.0,0.0,0.0,0.0
"Charleston","https://fbref.com/en/players/65988c73/Nick-Markanich","65988c73","db21ded4","Nick Markanich","Starter","USA","AM","23-300","80","1","1","0","0","3","2","0","0","2","1","0","1","3","0","0","0","0","AM",0.0,0.0,0.0,0.0
"Charleston","https://fbref.com/en/players/3adea0c9/A-J-Cochran","3adea0c9","db21ded4","A J Cochran","Sub","USA","DF","30-255","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","DF",0.0,0.0,0.0,0.0
"Charleston","https://fbref.com/en/players/bc245aa5/Arturo-Rodriguez","bc245aa5","db21ded4","Arturo Rodriguez","Starter","MEX","AM","24-311","68","1","2","0","0","1","1","0","0","0","3","0","3","2","0","0","0","0","AM",0.0,0.0,0.0,0.0
"Charleston","https://fbref.com/en/players/2509d2df/Andrew-Booth","2509d2df","db21ded4","Andrew Booth","Sub","JAM","MF","26-098","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","MF",0.0,0.0,0.0,0.0
"Charleston","https://fbref.com/en/players/4abe30fa/Fidel-Barajas","4abe30fa","db21ded4","Fidel Barajas","Starter","MEX","AM","17-200","59","1","1","0","0","3","1","0","0","2","1","1","6","0","1","0","0","0","AM",0.0,0.0,0.0,0.0
"Charleston","https://fbref.com/en/players/17e0db3e/Tristan-Trager","17e0db3e","db21ded4","Tristan Trager","Sub","USA","FW,MF","24-055","31","0","0","0","0","1","0","0","0","1","2","0","1","1","2","0","0","0","FW",0.0,0.0,0.0,0.0
"Charleston","https://fbref.com/en/players/bd929bce/Chris-Allan","bd929bce","db21ded4","Chris Allan","Starter","ENG","DM","25-025","80","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","DM",0.0,0.0,0.0,0.0
"Charleston","https://fbref.com/en/players/0e104fd6/AJ-Paterson","0e104fd6","db21ded4","AJ Paterson","Sub","GRN","DF","27-264","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","DF",0.0,0.0,0.0,0.0
"Charleston","https://fbref.com/en/players/5bb6c69c/Emilio-Ycaza","5bb6c69c","db21ded4","Emilio Ycaza","Starter","USA","DM","26-104","90","1","0","0","0","1","1","1","0","2","2","0","1","1","2","0","0","0","DM",0.0,0.0,0.0,0.0
"Charleston","https://fbref.com/en/players/a84af631/Mark-Segbers","a84af631","db21ded4","Mark Segbers","Starter","USA","LB","27-187","68","0","0","0","0","0","0","0","0","0","1","0","0","4","1","0","0","0","LB",0.0,0.0,0.0,0.0
"Charleston","https://fbref.com/en/players/bb666b57/Roberto-Avila","bb666b57","db21ded4","Roberto Avila","Sub","USA","FW","23-006","22","0","0","0","0","1","0","0","0","1","3","2","0","0","0","0","0","0","FW",0.0,0.0,0.0,0.0
"Charleston","https://fbref.com/en/players/49f87705/Juan-Palma","49f87705","db21ded4","Juan Palma","Starter","COL","CB","24-096","90","0","0","0","0","0","0","0","0","2","1","0","0","0","2","0","0","0","CB",0.0,0.0,0.0,0.0
"Charleston","https://fbref.com/en/players/bbb1e33e/Leland-Archer","bbb1e33e","db21ded4","Leland Archer","Starter","TRI","CB","27-287","90","0","0","0","0","0","0","0","0","1","0","0","1","2","1","0","0","0","CB",0.0,0.0,0.0,0.0
"Charleston","https://fbref.com/en/players/b9b0304a/Derek-Dodson","b9b0304a","db21ded4","Derek Dodson","Starter","USA","RB","24-353","90","0","0","0","0","3","0","0","0","0","4","0","3","1","1","0","0","0","RB",0.0,0.0,0.0,0.0
