team_id,team_name,match_id,match_date,match_time,season_id,game_type,match_location,opponent_team_name,match_outcome,match_points,match_week_number
1b75f7197aac9bde82a11e7020169923,El Paso,2a077083,2021-05-08,20:30:00,73_2021,Regular Season,Home,New Mexico Utd,Draw,1,1
1b75f7197aac9bde82a11e7020169923,El Paso,7db1289f,2021-05-22,20:30:00,73_2021,Regular Season,Home,RGV Toros,Win,3,2
1b75f7197aac9bde82a11e7020169923,El Paso,0a71118b,2021-05-30,16:00:00,73_2021,Regular Season,Away,Sporting KC II,Draw,1,3
1b75f7197aac9bde82a11e7020169923,El Paso,32968e41,2021-06-03,20:00:00,73_2021,Regular Season,Away,Bold,Win,3,4
1b75f7197aac9bde82a11e7020169923,El Paso,079db87b,2021-06-09,20:00:00,73_2021,Regular Season,Home,Indy Eleven,Win,3,5
1b75f7197aac9bde82a11e7020169923,El Paso,527afe9c,2021-06-12,20:30:00,73_2021,Regular Season,Home,CS Switchbacks,Draw,1,6
1b75f7197aac9bde82a11e7020169923,El Paso,287ddca7,2021-06-18,20:00:00,73_2021,Regular Season,Away,Monarchs,Win,3,7
1b75f7197aac9bde82a11e7020169923,El Paso,d809496b,2021-06-30,19:00:00,73_2021,Regular Season,Away,RGV Toros,Loss,0,8
1b75f7197aac9bde82a11e7020169923,El Paso,91f9b6b0,2021-07-03,20:30:00,73_2021,Regular Season,Home,New Mexico Utd,Win,3,9
1b75f7197aac9bde82a11e7020169923,El Paso,ad591a88,2021-07-09,20:00:00,73_2021,Regular Season,Away,Monarchs,Win,3,10
1b75f7197aac9bde82a11e7020169923,El Paso,8dba3c9b,2021-07-17,20:30:00,73_2021,Regular Season,Home,LV Lights FC,Win,3,11
1b75f7197aac9bde82a11e7020169923,El Paso,7bc99656,2021-07-24,19:30:00,73_2021,Regular Season,Away,New Mexico Utd,Draw,1,12
1b75f7197aac9bde82a11e7020169923,El Paso,8d6ad480,2021-07-28,19:30:00,73_2021,Regular Season,Away,San Antonio FC,Win,3,13
1b75f7197aac9bde82a11e7020169923,El Paso,80ac7592,2021-07-31,20:30:00,73_2021,Regular Season,Home,Monarchs,Win,3,14
1b75f7197aac9bde82a11e7020169923,El Paso,3af377c0,2021-08-04,20:00:00,73_2021,Regular Season,Home,San Antonio FC,Win,3,15
1b75f7197aac9bde82a11e7020169923,El Paso,c83df92b,2021-08-07,20:30:00,73_2021,Regular Season,Home,Bold,Win,3,16
1b75f7197aac9bde82a11e7020169923,El Paso,d692005e,2021-08-14,19:30:00,73_2021,Regular Season,Away,New Mexico Utd,Draw,1,17
1b75f7197aac9bde82a11e7020169923,El Paso,4ea6f635,2021-08-21,20:30:00,73_2021,Regular Season,Home,RGV Toros,Win,3,18
1b75f7197aac9bde82a11e7020169923,El Paso,f88fda75,2021-08-28,19:30:00,73_2021,Regular Season,Away,San Antonio FC,Loss,0,19
1b75f7197aac9bde82a11e7020169923,El Paso,585dc036,2021-09-03,19:00:00,73_2021,Regular Season,Away,Orange County,Draw,1,20
1b75f7197aac9bde82a11e7020169923,El Paso,97f50106,2021-09-11,20:30:00,73_2021,Regular Season,Home,Sac Republic,Win,3,21
1b75f7197aac9bde82a11e7020169923,El Paso,b5b8ecc8,2021-09-15,19:00:00,73_2021,Regular Season,Away,CS Switchbacks,Draw,1,22
1b75f7197aac9bde82a11e7020169923,El Paso,aea2b8c1,2021-09-22,20:00:00,73_2021,Regular Season,Away,Bold,Draw,1,23
1b75f7197aac9bde82a11e7020169923,El Paso,efa23871,2021-09-29,20:00:00,73_2021,Regular Season,Home,Monarchs,Win,3,24
1b75f7197aac9bde82a11e7020169923,El Paso,5a057337,2021-10-02,18:00:00,73_2021,Regular Season,Away,CS Switchbacks,Draw,1,25
1b75f7197aac9bde82a11e7020169923,El Paso,3d89ca1a,2021-10-06,20:00:00,73_2021,Regular Season,Home,San Antonio FC,Draw,1,26
1b75f7197aac9bde82a11e7020169923,El Paso,d6dc20fa,2021-10-09,19:00:00,73_2021,Regular Season,Away,FC Tulsa,Win,3,27
1b75f7197aac9bde82a11e7020169923,El Paso,bb8aae4c,2021-10-13,20:00:00,73_2021,Regular Season,Home,CS Switchbacks,Win,3,28
1b75f7197aac9bde82a11e7020169923,El Paso,f64ef5f5,2021-10-17,17:00:00,73_2021,Regular Season,Away,Galaxy II,Loss,0,29
1b75f7197aac9bde82a11e7020169923,El Paso,3096a46a,2021-10-20,20:00:00,73_2021,Regular Season,Home,Bold,Win,3,30
1b75f7197aac9bde82a11e7020169923,El Paso,dc8908d1,2021-10-24,19:00:00,73_2021,Regular Season,Home,OKC Energy,Win,3,31
1b75f7197aac9bde82a11e7020169923,El Paso,52e0a443,2021-10-30,20:30:00,73_2021,Regular Season,Away,RGV Toros,Loss,0,32
1b75f7197aac9bde82a11e7020169923,El Paso,8039da4c,2021-11-05,20:30:00,73_2021,Conference Quarterfinals,Home,Roots,Loss,0,33
3def775412788644b9f7d2adef3ea38a,Atlanta United 2,25bf5dbd,2020-03-08,15:30:00,73_2020,Regular Season,Home,Charleston,Loss,0,1
3def775412788644b9f7d2adef3ea38a,Atlanta United 2,1e2463ed,2020-07-11,19:30:00,73_2020,Regular Season,Away,TB Rowdies,Loss,0,2
3def775412788644b9f7d2adef3ea38a,Atlanta United 2,17685f87,2020-07-18,19:30:00,73_2020,Regular Season,Home,Memphis 901,Draw,1,3
3def775412788644b9f7d2adef3ea38a,Atlanta United 2,53b21eb0,2020-07-24,20:00:00,73_2020,Regular Season,Away,Charleston,Loss,0,4
3def775412788644b9f7d2adef3ea38a,Atlanta United 2,60280033,2020-07-29,19:30:00,73_2020,Regular Season,Home,Miami FC,Win,3,5
3def775412788644b9f7d2adef3ea38a,Atlanta United 2,416ec417,2020-08-05,19:30:00,73_2020,Regular Season,Home,Charleston,Draw,1,6
3def775412788644b9f7d2adef3ea38a,Atlanta United 2,c163a550,2020-08-08,18:30:00,73_2020,Regular Season,Away,B'ham Legion,Loss,0,7
