team_name,team_id,season_id,match_count,regular_season_end_position,regular_season_end_points,regular_season_end_points_per_match,regular_season_end_goal_difference,regular_season_end_goals_scored,regular_season_end_goals_scored_rank,regular_season_end_goals_scored_per_match,regular_season_end_goals_conceded,regular_season_end_goals_conceded_rank,regular_season_end_goals_conceded_per_match,regular_season_longest_consecutive_win_count,regular_season_win_percentage,first_playoff_round_match_location_is_home,playoff_run_home_percentage,playoff_result,is_playoff_champion
Louisville City,1f8a0d289d2c4e85f0ee8426fbb1d735,73_2023,34,10,50.0,1.4705882352941178,-3.0,41.0,20,1.2058823529411764,44.0,12,1.2941176470588236,2.0,0.4117647058823529,0,0.3333333333333333,Lost in Conference Finals,0
New Mexico Utd,23a233421de623afcb9f29161cfb0e2f,73_2023,34,14,46.0,1.3529411764705883,2.0,51.0,7,1.5,49.0,16,1.4411764705882353,3.0,0.38235294117647056,0,0.0,Lost in Conference Quarterfinals,0
FC Cincinnati,8dd848e61115f81a3cdf8f8735f2ed56,73_2017,32,13,46.0,1.4375,-2.0,46.0,14,1.4375,48.0,21,1.5,3.0,0.375,0,0.0,Lost in Conference Quarterfinals,0
Charleston,c44e2422c1d59759fc1baae13aa14649,73_2019,34,19,46.0,1.3529411764705883,0.0,44.0,29,1.2941176470588236,44.0,14,1.2941176470588236,2.0,0.3235294117647059,0,0.0,Lost in Conference Quarterfinals,0
Fresno,d0c5cbd40b7edef0050c725ee42c999b,73_2019,34,9,57.0,1.6764705882352942,14.0,58.0,14,1.7058823529411764,44.0,13,1.2941176470588236,5.0,0.47058823529411764,1,1.0,Lost in Conference Quarterfinals,0
CS Switchbacks,b162c1c5e1c117317961e119300241d5,73_2021,32,12,49.0,1.53125,10.0,60.0,3,1.875,50.0,23,1.5625,3.0,0.40625,0,0.0,Lost in Conference Quarterfinals,0
Phx Rising,bc2306d840e3c6b65bde80a4061c9d7a,73_2024,34,19,42.0,1.2352941176470589,-6.0,33.0,21,0.9705882352941176,39.0,6,1.1470588235294117,2.0,0.3235294117647059,0,0.0,Lost in Conference Quarterfinals,0
Louisville City,1f8a0d289d2c4e85f0ee8426fbb1d735,73_2019,34,6,60.0,1.7647058823529411,17.0,58.0,13,1.7058823529411764,41.0,8,1.2058823529411764,4.0,0.5,1,0.5,Lost in Final,0
New Mexico Utd,23a233421de623afcb9f29161cfb0e2f,73_2019,34,18,46.0,1.3529411764705883,2.0,59.0,10,1.7352941176470589,57.0,24,1.6764705882352942,2.0,0.3235294117647059,0,0.0,Lost in Play-in round,0
Pittsburgh,83cc8f7934cbdd06e1e93ac4dae2241a,73_2024,34,12,48.0,1.411764705882353,13.0,41.0,15,1.2058823529411764,28.0,1,0.8235294117647058,4.0,0.35294117647058826,0,0.0,Lost in Conference Quarterfinals,0
Charleston,c44e2422c1d59759fc1baae13aa14649,73_2023,34,4,59.0,1.7352941176470589,4.0,47.0,10,1.3823529411764706,43.0,11,1.2647058823529411,4.0,0.5,1,1.0,Lost in Final,0
Memphis 901,37c9a094c5c9905b96bb91965eaae57c,73_2024,34,7,51.0,1.5,11.0,52.0,6,1.5294117647058822,41.0,9,1.2058823529411764,2.0,0.4117647058823529,1,1.0,Lost in Conference Quarterfinals,0
North Carolina,130c7ca8daccb66ef614ec3331a0f665,73_2019,34,10,56.0,1.6470588235294117,20.0,57.0,15,1.6764705882352942,37.0,7,1.088235294117647,3.0,0.47058823529411764,1,1.0,Lost in Play-in round,0
Roots,3d37061458413a43ea1d9a3b7dd934e7,73_2021,32,19,41.0,1.28125,-7.0,36.0,25,1.125,43.0,18,1.34375,3.0,0.34375,0,0.0,Lost in Conference Semifinals,0
Sac Republic,44f72498b5d3deb89f8011d2f3814e49,73_2023,34,2,64.0,1.8823529411764706,25.0,51.0,6,1.5,26.0,1,0.7647058823529411,3.0,0.5294117647058824,1,1.0,Lost in Conference Finals,0
Monarchs,9165468cbfe61ada7f467ed9ab5b217f,73_2019,34,11,56.0,1.6470588235294117,18.0,71.0,4,2.088235294117647,53.0,20,1.5588235294117647,5.0,0.47058823529411764,1,0.5,Playoff Champions,1
Miami FC,a72631d8416da804d916facef62ea6df,73_2022,34,8,55.0,1.6176470588235294,15.0,47.0,18,1.3823529411764706,32.0,4,0.9411764705882353,3.0,0.4411764705882353,0,0.0,Lost in Conference Quarterfinals,0
Galaxy II,d2670145ba89d52a20ec3496bae9bfa6,73_2020,16,13,26.0,1.625,-3.0,29.0,9,1.8125,32.0,28,2.0,2.0,0.5,0,0.0,Lost in Conference Quarterfinals,0
Indy Eleven,f8adf1226c6b79830a8d75f0060f13dc,73_2019,34,4,63.0,1.8529411764705883,19.0,48.0,23,1.411764705882353,29.0,2,0.8529411764705882,5.0,0.5588235294117647,1,0.6666666666666666,Lost in Conference Finals,0
El Paso,1b75f7197aac9bde82a11e7020169923,73_2023,34,13,47.0,1.3823529411764706,-10.0,41.0,19,1.2058823529411764,51.0,17,1.5,7.0,0.38235294117647056,0,0.0,Lost in Conference Quarterfinals,0
Memphis 901,37c9a094c5c9905b96bb91965eaae57c,73_2021,32,11,50.0,1.5625,5.0,47.0,17,1.46875,42.0,15,1.3125,2.0,0.4375,0,0.0,Lost in Conference Quarterfinals,0
B'ham Legion,453434746d466ea6ae43f4c3506ca054,73_2021,32,5,60.0,1.875,20.0,51.0,11,1.59375,31.0,2,0.96875,5.0,0.5625,1,0.5,Lost in Conference Semifinals,0
San Antonio FC,670171fc61c6bdb5039f064570c30d42,73_2020,16,6,33.0,2.0625,16.0,30.0,7,1.875,14.0,4,0.875,4.0,0.625,1,1.0,Lost in Conference Quarterfinals,0
FC Cincinnati,8dd848e61115f81a3cdf8f8735f2ed56,73_2018,34,1,77.0,2.264705882352941,38.0,72.0,1,2.1176470588235294,34.0,4,1.0,10.0,0.6764705882352942,1,1.0,Lost in Conference Semifinals,0
Charlotte Ind'ence,cea72440b8fa51e76e53ed70311cccd4,73_2017,32,11,48.0,1.5,12.0,52.0,8,1.625,40.0,12,1.25,6.0,0.40625,0,0.0,Lost in Conference Quarterfinals,0
RGV Toros,e3170d1573e6185f00b3c7a8a64c4bdd,73_2021,32,14,47.0,1.46875,7.0,49.0,15,1.53125,42.0,16,1.3125,3.0,0.40625,0,0.0,Lost in Conference Semifinals,0
Sac Republic,44f72498b5d3deb89f8011d2f3814e49,73_2024,34,11,49.0,1.4411764705882353,12.0,46.0,12,1.3529411764705883,34.0,3,1.0,2.0,0.38235294117647056,0,0.0,Lost in Conference Quarterfinals,0
TB Rowdies,7b8e50ced9107331c80f2a127274867f,73_2020,16,7,33.0,2.0625,14.0,25.0,14,1.5625,11.0,2,0.6875,3.0,0.625,1,0.75,Lost in Final,0
Pittsburgh,83cc8f7934cbdd06e1e93ac4dae2241a,73_2021,32,7,58.0,1.8125,18.0,52.0,9,1.625,34.0,4,1.0625,4.0,0.53125,0,0.0,Lost in Conference Quarterfinals,0
Rhode Island FC,abcfc140c7c306b174fb2e3f5dfaaef3,73_2024,34,6,51.0,1.5,15.0,56.0,3,1.6470588235294117,41.0,8,1.2058823529411764,3.0,0.35294117647058826,0,0.0,Lost in Final,0
Charleston,c44e2422c1d59759fc1baae13aa14649,73_2025,30,2,62.0,2.066666666666667,30.0,62.0,1,2.066666666666667,32.0,6,1.0666666666666667,7.0,0.6333333333333333,1,1.0,Lost in Conference Quarterfinals,0
Roots,3d37061458413a43ea1d9a3b7dd934e7,73_2022,34,14,46.0,1.3529411764705883,5.0,51.0,10,1.5,46.0,12,1.3529411764705883,2.0,0.3235294117647059,0,0.0,Lost in Conference Semifinals,0
Miami FC,a72631d8416da804d916facef62ea6df,73_2021,32,8,54.0,1.6875,15.0,55.0,7,1.71875,40.0,11,1.25,3.0,0.5,0,0.0,Lost in Conference Quarterfinals,0
Charleston,c44e2422c1d59759fc1baae13aa14649,73_2017,32,7,54.0,1.6875,20.0,53.0,7,1.65625,33.0,5,1.03125,2.0,0.46875,1,1.0,Lost in Conference Quarterfinals,0
Galaxy II,d2670145ba89d52a20ec3496bae9bfa6,73_2019,34,17,48.0,1.411764705882353,-3.0,59.0,9,1.7352941176470589,62.0,27,1.8235294117647058,2.0,0.35294117647058826,0,0.0,Lost in Play-in round,0
Bethlehem,f3acb7cbb8399e56ca6ed46f327bda5f,73_2018,34,14,50.0,1.4705882352941178,15.0,56.0,10,1.6470588235294117,41.0,13,1.2058823529411764,3.0,0.4117647058823529,0,0.0,Lost in Conference Semifinals,0
Timbers 2,07af9a9599cfa232b44b0425e3ca6af8,73_2018,34,10,55.0,1.6176470588235294,9.0,58.0,8,1.7058823529411764,49.0,22,1.4411764705882353,3.0,0.5,0,0.0,Lost in Conference Quarterfinals,0
