z_score,prob
-5.00,0.000000287
-4.99,0.000000302
-4.98,0.000000318
-4.97,0.000000335
-4.96,0.000000352
-4.95,0.000000371
-4.94,0.000000391
-4.93,0.000000411
-4.92,0.000000433
-4.91,0.000000455
-4.90,0.000000479
-4.89,0.000000504
-4.88,0.000000530
-4.87,0.000000558
-4.86,0.000000587
-4.85,0.000000617
-4.84,0.000000649
-4.83,0.000000683
-4.82,0.000000718
-4.81,0.000000755
-4.80,0.000000793
-4.79,0.000000834
-4.78,0.000000876
-4.77,0.000000921
-4.76,0.000000968
-4.75,0.000001017
-4.74,0.000001069
-4.73,0.000001123
-4.72,0.000001179
-4.71,0.000001239
-4.70,0.000001301
-4.69,0.000001366
-4.68,0.000001434
-4.67,0.000001506
-4.66,0.000001581
-4.65,0.000001660
-4.64,0.000001742
-4.63,0.000001828
-4.62,0.000001919
-4.61,0.000002013
-4.60,0.000002112
-4.59,0.000002216
-4.58,0.000002325
-4.57,0.000002439
-4.56,0.000002558
-4.55,0.000002682
-4.54,0.000002813
-4.53,0.000002949
-4.52,0.000003092
-4.51,0.000003241
-4.50,0.000003398
-4.49,0.000003561
-4.48,0.000003732
-4.47,0.000003911
-4.46,0.000004098
-4.45,0.000004294
-4.44,0.000004498
-4.43,0.000004712
-4.42,0.000004935
-4.41,0.000005169
-4.40,0.000005413
-4.39,0.000005668
-4.38,0.000005934
-4.37,0.000006212
-4.36,0.000006503
-4.35,0.000006807
-4.34,0.000007124
-4.33,0.000007455
-4.32,0.000007801
-4.31,0.000008163
-4.30,0.000008540
-4.29,0.000008934
-4.28,0.000009345
-4.27,0.000009774
-4.26,0.000010221
-4.25,0.000010689
-4.24,0.000011176
-4.23,0.000011685
-4.22,0.000012215
-4.21,0.000012769
-4.20,0.000013346
-4.19,0.000013948
-4.18,0.000014575
-4.17,0.000015230
-4.16,0.000015912
-4.15,0.000016624
-4.14,0.000017365
-4.13,0.000018138
-4.12,0.000018944
-4.11,0.000019783
-4.10,0.000020658
-4.09,0.000021569
-4.08,0.000022518
-4.07,0.000023507
-4.06,0.000024536
-4.05,0.000025609
-4.04,0.000026726
-4.03,0.000027888
-4.02,0.000029099
-4.01,0.000030359
-4.00,0.000031671
-3.99,0.000033037
-3.98,0.000034458
-3.97,0.000035936
-3.96,0.000037475
